,match_id,id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,position_id,position_name,location_x,location_y,duration,shot_statsbomb_xg,shot_end_location_x,shot_end_location_y,shot_end_location_z,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,opoosition_gk_id,opposition_gk_name,shot_one_on_one,under_pressure,shot_key_pass_id,shot_deflected,shot_first_time,shot_open_goal,shot_redirect
265,266274,4eb1bbe8-a79e-4f31-9328-5e6dbfb6b409,1124,1,00:29:17.793,29,17,16,Shot,55,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,113.3,47.7,0.5286,0.5606054,120.0,42.9,0.5,97,Goal,87,Open Play,40,Right Foot,93,Normal,10612.0,Yoel Rodríguez Oterino,True,True,a82e4038-3d35-48f6-b2c6-79e7d10b1a3f,,,,
266,267520,c2d6d37c-9894-4132-bd33-cbcefa84db1f,251,1,00:07:08.445,7,8,16,Shot,16,217,Barcelona,7,From Goal Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,113.3,45.2,1.027254,0.39956787,120.0,43.7,0.5,97,Goal,87,Open Play,37,Head,90,Diving Header,4691.0,Claudio Andrés Bravo Muñoz,,,bd89e934-b356-4e42-8017-cf5d7187d576,,,,
267,69240,ebb4663d-1dd4-4208-b3f1-776f817a8847,322,1,00:06:02.451,6,2,16,Shot,14,217,Barcelona,2,From Corner,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,95.3,38.1,1.286142,0.024074236,120.0,36.6,1.3,97,Goal,87,Open Play,38,Left Foot,93,Normal,26686.0,Jordi Codina Rodríguez,,,447eed88-aa33-4e7d-820c-db1f6626b10a,,True,,
268,69305,64d44737-1461-44f7-91db-ddfdc366dc65,2268,2,00:07:50.088,52,50,16,Shot,135,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,108.3,40.1,0.6368,0.76,120.0,42.1,0.8,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
269,69305,0c3a31d4-b1c2-4964-9f2f-7b991e87dace,3742,2,00:46:52.240,91,52,16,Shot,220,403,Almería,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,110.2,35.9,1.0725,0.35975075,120.0,38.5,0.6,97,Goal,87,Open Play,38,Left Foot,93,Normal,25144.0,Diego Alves Carreira,True,True,,,,,
270,267432,2050fbf9-c0c8-424e-950d-aa44c32ec563,2823,2,00:29:55.457,74,55,16,Shot,154,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,13,Right Center Midfield,108.1,40.0,0.983396,0.76,120.0,43.7,1.3,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
271,267432,0330747e-89de-4d95-92f5-64f347cd1769,3330,2,00:46:13.412,91,13,16,Shot,181,217,Barcelona,6,From Counter,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,13,Right Center Midfield,104.1,38.0,0.766626,0.14908852,120.0,37.6,0.5,97,Goal,87,Open Play,40,Right Foot,93,Normal,10612.0,Yoel Rodríguez Oterino,,,,,,,
272,267576,744957b3-dbd2-436f-a226-6e265da350c2,1322,1,00:29:36.225,29,36,16,Shot,51,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,109.9,37.3,0.259702,0.17525725,120.0,37.1,0.3,97,Goal,87,Open Play,38,Left Foot,93,Normal,6378.0,Jan Oblak,,,13d4742e-7aa3-4162-ba1f-21cf5c1e1729,,True,,
273,68329,ac18d21d-4500-4bf5-9e7a-2605da042f30,3320,2,00:35:02.101,80,2,16,Shot,171,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,21,Left Wing,110.7,50.2,0.872219,0.15266131,120.0,37.3,1.3,97,Goal,87,Open Play,40,Right Foot,93,Normal,25946.0,Andrés Palop Cervera,,,32c56e5e-9cef-40f0-8823-38a3215bc04e,,,,
274,69241,943e1595-efe6-4b67-968c-4baea7f14c55,814,1,00:16:13.796,16,13,16,Shot,26,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,118.5,44.5,0.5711,0.44210398,120.0,43.2,0.4,97,Goal,87,Open Play,40,Right Foot,91,Half Volley,26627.0,Sergio Aragoneses Almeida,,True,,,True,,
